SampName	Ca
S1A1	40.08
S1B1	40.08
S1C1	40.08
S1D1	40.08
S1E1	40.08
S1F1	40.08
S1G1	40.08
S1H1	40.08
S1A2	40.08
S1B2	40.08
S1C2	40.08
S1D2	40.08
S1E2	40.08
S1F2	40.08
S1G2	40.08
S1H2	40.08
S1A3	40.08
S1B3	40.08
S1C3	40.08
S1D3	40.08
S1E3	40.08
S1F3	40.08
S1G3	40.08
S1H3	40.08
S1A4	40.08
S1B4	40.08
S1C4	40.08
S1D4	40.08
S1E4	40.08
S1F4	40.08
S1G4	40.08
S1H4	40.08
S1A5	40.08
S1B5	40.08
S1C5	40.08
S1D5	40.08
S1E5	40.08
S1F5	40.08
S1G5	40.08
S1H5	40.08
S1A6	40.08
S1B6	40.08
S1C6	40.08
S1D6	40.08
S1E6	40.08
S1F6	40.08
S1G6	40.08
S1H6	40.08
S1A7	40.08
S1B7	40.08
S1C7	40.08
S1D7	40.08
S1E7	40.08
S1F7	40.08
S1G7	40.08
S1H7	40.08
S1A8	40.08
S1B8	40.08
S1C8	40.08
S1D8	40.08
S1E8	40.08
S1F8	40.08
S1G8	40.08
S1H8	40.08
S1A9	40.08
S1B9	40.08
S1C9	40.08
S1D9	40.08
S1E9	40.08
S1F9	40.08
S1G9	40.08
S1H9	40.08
S1A10	40.08
S1B10	40.08
S1C10	40.08
S1D10	40.08
S1E10	40.08
S1F10	40.08
S1G10	40.08
S1H10	40.08
S1A11	40.08
S1B11	40.08
S1C11	40.08
S1D11	40.08
S1E11	40.08
S1F11	40.08
S1G11	40.08
S1H11	40.08
S1A12	40.08
S1B12	40.08
S1C12	40.08
S1D12	40.08
S1E12	40.08
S1F12	40.08
S1G12	40.08
S1H12	40.08
S1A13	40.08
S1B13	40.08
S1C13	40.08
S1D13	40.08
S1E13	40.08
S1F13	40.08
S1G13	40.08
S1H13	40.08
S1A14	40.08
S1B14	40.08
S1C14	40.08
S1D14	40.08
S1E14	40.08
S1F14	40.08
S1G14	40.08
S1H14	40.08
S1A15	40.08
S1B15	40.08
S1C15	40.08
S1D15	40.08
S1E15	40.08
S1F15	40.08
S1G15	40.08
S1H15	40.08
S1A16	40.08
S1B16	40.08
S1C16	40.08
S1D16	40.08
S1E16	40.08
S1F16	40.08
S1G16	40.08
S1H16	40.08
S1A17	40.08
S1B17	40.08
S1C17	40.08
S1D17	40.08
S1E17	40.08
S1F17	40.08
S1G17	40.08
S1H17	40.08
S1A18	40.08
S1B18	40.08
S1C18	40.08
S1D18	40.08
S1E18	40.08
S1F18	40.08
S1G18	40.08
S1H18	40.08
S1A19	40.08
S1B19	40.08
S1C19	40.08
S1D19	40.08
S1E19	40.08
S1F19	40.08
S1G19	40.08
S1H19	40.08
