SampName	Ca
S2A1	40.08
S2B1	40.08
S2C1	40.08
S2D1	40.08
S2E1	40.08
S2F1	40.08
S2G1	40.08
S2H1	40.08
S2A2	40.08
S2B2	40.08
S2C2	40.08
S2D2	40.08
S2E2	40.08
S2F2	40.08
S2G2	40.08
S2H2	40.08
S2A3	40.08
S2B3	40.08
S2C3	40.08
S2D3	40.08
S2E3	40.08
S2F3	40.08
S2G3	40.08
S2H3	40.08
S2A4	40.08
S2B4	40.08
S2C4	40.08
S2D4	40.08
S2E4	40.08
S2F4	40.08
S2G4	40.08
S2H4	40.08
S2A5	40.08
S2B5	40.08
S2C5	40.08
S2D5	40.08
S2E5	40.08
S2F5	40.08
S2G5	40.08
S2H5	40.08
S2A6	40.08
S2B6	40.08
S2C6	40.08
S2D6	40.08
S2E6	40.08
S2F6	40.08
S2G6	40.08
S2H6	40.08
S2A7	40.08
S2B7	40.08
S2C7	40.08
S2D7	40.08
S2E7	40.08
S2F7	40.08
S2G7	40.08
S2H7	40.08
S2A8	40.08
S2B8	40.08
S2C8	40.08
S2D8	40.08
S2E8	40.08
S2F8	40.08
S2G8	40.08
S2H8	40.08
S2A9	40.08
S2B9	40.08
S2C9	40.08
S2D9	40.08
S2E9	40.08
S2F9	40.08
S2G9	40.08
S2H9	40.08
S2A10	40.08
S2B10	40.08
S2C10	40.08
S2D10	40.08
S2E10	40.08
S2F10	40.08
S2G10	40.08
S2H10	40.08
S2A11	40.08
S2B11	40.08
S2C11	40.08
S2D11	40.08
S2E11	40.08
S2F11	40.08
S2G11	40.08
S2H11	40.08
S2A12	40.08
S2B12	40.08
S2C12	40.08
S2D12	40.08
S2E12	40.08
S2F12	40.08
S2G12	40.08
S2H12	40.08
S2A13	40.08
S2B13	40.08
S2C13	40.08
S2D13	40.08
S2E13	40.08
S2F13	40.08
S2G13	40.08
S2H13	40.08
S2A14	40.08
S2B14	40.08
S2C14	40.08
S2D14	40.08
S2E14	40.08
S2F14	40.08
S2G14	40.08
S2H14	40.08
S2A15	40.08
S2B15	40.08
S2C15	40.08
S2D15	40.08
S2E15	40.08
S2F15	40.08
S2G15	40.08
S2H15	40.08
S2A16	40.08
S2B16	40.08
S2C16	40.08
S2D16	40.08
S2E16	40.08
S2F16	40.08
S2G16	40.08
S2H16	40.08
S2A17	40.08
S2B17	40.08
S2C17	40.08
S2D17	40.08
S2E17	40.08
S2F17	40.08
S2G17	40.08
S2H17	40.08
S2A18	40.08
S2B18	40.08
S2C18	40.08
S2D18	40.08
S2E18	40.08
S2F18	40.08
S2G18	40.08
S2H18	40.08
S2A19	40.08
S2B19	40.08
S2C19	40.08
S2D19	40.08
S2E19	40.08
S2F19	40.08
S2G19	40.08
S2H19	40.08
