SampName	Ca
S3A1	40.08
S3B1	40.08
S3C1	40.08
S3D1	40.08
S3E1	40.08
S3F1	40.08
S3G1	40.08
S3H1	40.08
S3A2	40.08
S3B2	40.08
S3C2	40.08
S3D2	40.08
S3E2	40.08
S3F2	40.08
S3G2	40.08
S3H2	40.08
S3A3	40.08
S3B3	40.08
S3C3	40.08
S3D3	40.08
S3E3	40.08
S3F3	40.08
S3G3	40.08
S3H3	40.08
S3A4	40.08
S3B4	40.08
S3C4	40.08
S3D4	40.08
S3E4	40.08
S3F4	40.08
S3G4	40.08
S3H4	40.08
S3A5	40.08
S3B5	40.08
S3C5	40.08
S3D5	40.08
S3E5	40.08
S3F5	40.08
S3G5	40.08
S3H5	40.08
S3A6	40.08
S3B6	40.08
S3C6	40.08
S3D6	40.08
S3E6	40.08
S3F6	40.08
S3G6	40.08
S3H6	40.08
S3A7	40.08
S3B7	40.08
S3C7	40.08
S3D7	40.08
S3E7	40.08
S3F7	40.08
S3G7	40.08
S3H7	40.08
S3A8	40.08
S3B8	40.08
S3C8	40.08
S3D8	40.08
S3E8	40.08
S3F8	40.08
S3G8	40.08
S3H8	40.08
S3A9	40.08
S3B9	40.08
S3C9	40.08
S3D9	40.08
S3E9	40.08
S3F9	40.08
S3G9	40.08
S3H9	40.08
S3A10	40.08
S3B10	40.08
S3C10	40.08
S3D10	40.08
S3E10	40.08
S3F10	40.08
S3G10	40.08
S3H10	40.08
S3A11	40.08
S3B11	40.08
S3C11	40.08
S3D11	40.08
S3E11	40.08
S3F11	40.08
S3G11	40.08
S3H11	40.08
S3A12	40.08
S3B12	40.08
S3C12	40.08
S3D12	40.08
S3E12	40.08
S3F12	40.08
S3G12	40.08
S3H12	40.08
S3A13	40.08
S3B13	40.08
S3C13	40.08
S3D13	40.08
S3E13	40.08
S3F13	40.08
S3G13	40.08
S3H13	40.08
S3A14	40.08
S3B14	40.08
S3C14	40.08
S3D14	40.08
S3E14	40.08
S3F14	40.08
S3G14	40.08
S3H14	40.08
S3A15	40.08
S3B15	40.08
S3C15	40.08
S3D15	40.08
S3E15	40.08
S3F15	40.08
S3G15	40.08
S3H15	40.08
S3A16	40.08
S3B16	40.08
S3C16	40.08
S3D16	40.08
S3E16	40.08
S3F16	40.08
S3G16	40.08
S3H16	40.08
S3A17	40.08
S3B17	40.08
S3C17	40.08
S3D17	40.08
S3E17	40.08
S3F17	40.08
S3G17	40.08
S3H17	40.08
S3A18	40.08
S3B18	40.08
S3C18	40.08
S3D18	40.08
S3E18	40.08
S3F18	40.08
S3G18	40.08
S3H18	40.08
S3A19	40.08
S3B19	40.08
S3C19	40.08
S3D19	40.08
S3E19	40.08
S3F19	40.08
S3G19	40.08
S3H19	40.08
