Slide_code,Year,Site,meanLi7,meanNa23,meanMg24,meanAl27,meanP31,meanK39,meanMn55,meanFe57,meanCu65,meanZn66,meanRb85,meanSr88,meanBa138
S1A1,2020,Benger Burn,8.830324863442928e-4,16.68789861107171,0.14165604570595552,1.9684402583771839e-4,1.0685573477508894,3.38200445856559,0.025083186854516805,0.056475137407518,9.391274018394444e-5,0.11312479566862783,2.693788093742622e-4,1.4761063391149136,0.004231976167204597
S1A1,2020,Benger Burn,8.830324863442928e-4,16.68789861107171,0.14165604570595552,1.9684402583771839e-4,1.0685573477508894,3.38200445856559,0.025083186854516805,0.056475137407518,9.391274018394444e-5,0.11312479566862783,2.693788093742622e-4,1.4761063391149136,0.004231976167204597
S1A10,2020,Blackcleugh Burn,9.82239119460851e-4,18.324781829408664,0.3302454600680648,8.504025915565974e-5,3.0570163828620442,7.058928799765671,0.013789752298497436,0.034905113588208476,3.9922846382060495e-5,0.11024527067140305,8.376367082729396e-4,2.506063440630225,0.02792701767358869
S1A11,2020,Carsons Creek,0.0011478405277948948,18.50980408486022,0.09200695414137386,3.377702238986015e-4,0.9802037771325187,4.510831206832821,0.015562573270282527,0.03619399581682985,1.444044041205771e-4,0.10409351795723124,4.249221334182994e-4,1.782563146680926,0.009900643511217565
S1A12,2020,Carsons Creek,0.0015587841129606542,18.297992599507893,0.08165046188465744,1.0501786295324302e-4,0.2792355069580175,5.088943348309988,0.01828225291837313,0.033683787469041625,4.1614856116756865e-5,0.12023726323480437,4.637737205538612e-4,1.8015196091897754,0.010525778491140066
S1A13,2020,Back Stream,8.993918554707298e-4,18.364332781057286,0.15793826830288102,9.018990870465696e-5,1.0968468022179412,6.274508550029652,0.017047468702974442,0.03230190615310779,5.0809824691534064e-5,0.11086028916248701,0.0015379908620360518,2.5261947495820087,0.03255517452075096
S1A14,2020,Crookston Burn,1.0153045950268289e-4,17.92053958024007,0.10453794628457933,1.0671636534354375e-4,0.4798922947630899,4.997990667957301,0.009851735371887231,0.033181035728232555,4.338191438827399e-5,0.11174715500701375,3.9095391595573805e-4,1.3949107205862417,0.005336936604722679
S1A15,2020,Leithen Burn,0.0015063255051042982,17.16049785704135,0.2897932232650423,1.315945555475792e-4,2.30307971628912,5.9071253689207746,0.026370917787112653,0.031898516400488484,4.5014533584232753e-5,0.1379679485099555,8.057994428578279e-4,1.797262203000497,0.007080770685158132
S1A16,2020,Flodden Stream,6.834160369206884e-4,18.40041001432062,0.1207523882938586,1.0755282402996667e-4,0.9919536177472803,5.859424235602646,0.011211148188227256,0.03322598056649728,4.839997941059045e-5,0.13687373329263,5.583397723294918e-4,2.2779824271340132,0.024868432193801457
S1A17,2020,Flodden Stream,8.397909062434135e-4,20.34904579312279,0.16561532262981965,1.2776990170620072e-4,1.283015793692085,6.598803180038817,0.0017143250602676926,0.032744015689755865,1.115163299555572e-4,0.10906540075385251,7.245534981530076e-4,2.0623395713898387,0.01360684466262841
S1A18,2020,Heriot Burn,3.5678032411207736e-4,16.25472950675435,0.14728807034064767,1.126464704473312e-4,1.2613279890884035,4.419537511224961,0.010015239210107675,0.031401202905303974,1.0012352512265386e-4,0.07413518675762683,4.3571639324480716e-4,1.8287087158264168,0.006873041900130996
S1A18,2020,Heriot Burn,3.5678032411207736e-4,16.25472950675435,0.14728807034064767,1.126464704473312e-4,1.2613279890884035,4.419537511224961,0.010015239210107675,0.031401202905303974,1.0012352512265386e-4,0.07413518675762683,4.3571639324480716e-4,1.8287087158264168,0.006873041900130996
S1A18,2020,Heriot Burn,3.5678032411207736e-4,16.25472950675435,0.14728807034064767,1.126464704473312e-4,1.2613279890884035,4.419537511224961,0.010015239210107675,0.031401202905303974,1.0012352512265386e-4,0.07413518675762683,4.3571639324480716e-4,1.8287087158264168,0.006873041900130996
S1A19,2020,Whiskey Gully Stream,5.354594649561168e-4,17.64254119129747,0.15238350578195667,9.658637489300348e-5,1.3932469822030364,4.956959306979618,0.007668856536679817,0.03434927736058788,5.797738724690584e-5,0.1249911595139821,6.918575626272907e-4,1.968015737019687,0.011875338032061677
S1A19,2020,Whiskey Gully Stream,5.354594649561168e-4,17.64254119129747,0.15238350578195667,9.658637489300348e-5,1.3932469822030364,4.956959306979618,0.007668856536679817,0.03434927736058788,5.797738724690584e-5,0.1249911595139821,6.918575626272907e-4,1.968015737019687,0.011875338032061677
S1A19,2020,Whiskey Gully Stream,5.354594649561168e-4,17.64254119129747,0.15238350578195667,9.658637489300348e-5,1.3932469822030364,4.956959306979618,0.007668856536679817,0.03434927736058788,5.797738724690584e-5,0.1249911595139821,6.918575626272907e-4,1.968015737019687,0.011875338032061677
S1A2,2020,Benger Burn,0.0010618119715494704,15.173152088820808,0.0831667636689616,1.820556256948968e-4,0.5991802306293385,3.2794178530410094,0.028047738144457567,0.05690408967787472,8.170427846883691e-5,0.09133617503708712,2.6458854319071903e-4,1.6765721601319494,0.009148386789599497
S1A3,2020,Waitahuna River,5.561794542004875e-4,14.954083140752322,0.24801845039822812,2.5337044182805564e-4,2.29344720530956,3.319194008862291,0.030204936953805966,0.04667547900784123,7.287364759735982e-5,0.1149532417979433,5.457942484653258e-4,2.0335503350705686,0.009322429217989045
