File,meanLi7,semLi7,meanNa23,semNa23,meanMg24,semMg24,meanAl27,semAl27,meanP31,semP31,meanK39,semK39,meanMn55,semMn55,meanFe57,semFe57,meanCu65,semCu65,meanZn66,semZn66,meanRb85,semRb85,meanSr88,semSr88,meanBa138,semBa138
S1A1 2.txt,8.830324863442928e-4,7.596284451940874e-5,16.68789861107171,0.11499528948128851,0.14165604570595552,0.0023755645897986376,1.9684402583771839e-4,6.006295325231934e-5,1.0685573477508894,0.033950610545927615,3.38200445856559,0.02354713153420543,0.025083186854516805,4.414698925490005e-4,0.056475137407518,6.899541050979698e-4,9.391274018394444e-5,6.852375062937043e-6,0.11312479566862783,0.0011024941078859657,2.693788093742622e-4,4.690179557320192e-6,1.4761063391149136,0.01456194092953323,0.004231976167204597,5.706134759696355e-5
S1A1.txt,8.830324863442928e-4,7.596284451940874e-5,16.68789861107171,0.11499528948128851,0.14165604570595552,0.0023755645897986376,1.9684402583771839e-4,6.006295325231934e-5,1.0685573477508894,0.033950610545927615,3.38200445856559,0.02354713153420543,0.025083186854516805,4.414698925490005e-4,0.056475137407518,6.899541050979698e-4,9.391274018394444e-5,6.852375062937043e-6,0.11312479566862783,0.0011024941078859657,2.693788093742622e-4,4.690179557320192e-6,1.4761063391149136,0.01456194092953323,0.004231976167204597,5.706134759696355e-5
S1A10 7.txt,9.82239119460851e-4,5.682748194929556e-5,18.324781829408664,0.13400849221962788,0.3302454600680648,0.0042154365220913375,8.504025915565974e-5,1.4339536440006319e-5,3.0570163828620442,0.04376493712667632,7.058928799765671,0.05274778511710311,0.013789752298497436,1.9348619896959206e-4,0.034905113588208476,5.279988196822304e-4,3.9922846382060495e-5,4.7584487566535845e-6,0.11024527067140305,9.823244558227228e-4,8.376367082729396e-4,9.529538932776571e-6,2.506063440630225,0.03194490554401674,0.02792701767358869,8.122889201085986e-4
S1A11.txt,0.0011478405277948948,6.107705565579224e-5,18.50980408486022,0.1624801337743396,0.09200695414137386,0.0028228970434475585,3.377702238986015e-4,6.61480807501986e-5,0.9802037771325187,0.04331239151719692,4.510831206832821,0.03876714482585346,0.015562573270282527,3.16282519273197e-4,0.03619399581682985,0.0011966942033407432,1.444044041205771e-4,9.28953729133127e-6,0.10409351795723124,0.0015264383901776382,4.249221334182994e-4,5.966582887852867e-6,1.782563146680926,0.018076886648959154,0.009900643511217565,1.543440119849806e-4
S1A12 7.txt,0.0015587841129606542,2.953240534129274e-4,18.297992599507893,0.11630676596011659,0.08165046188465744,0.0013322354397865502,1.0501786295324302e-4,1.4825022044433722e-5,0.2792355069580175,0.014063092487692858,5.088943348309988,0.03004748046513931,0.01828225291837313,3.5963292497019357e-4,0.033683787469041625,5.354410064385155e-4,4.1614856116756865e-5,5.083231452919243e-6,0.12023726323480437,0.0010877774615994959,4.637737205538612e-4,5.9918339084010165e-6,1.8015196091897754,0.014052728569813475,0.010525778491140066,1.832819010677661e-4
S1A13.txt,8.993918554707298e-4,5.652408476307344e-5,18.364332781057286,0.12672175383324533,0.15793826830288102,0.0024059234755516917,9.018990870465696e-5,1.3824295890718697e-5,1.0968468022179412,0.024078913854770012,6.274508550029652,0.046071155586647865,0.017047468702974442,3.0414237565847116e-4,0.03230190615310779,4.839967659371175e-4,5.0809824691534064e-5,4.759732008390167e-6,0.11086028916248701,0.0011460641822645756,0.0015379908620360518,1.47844038936713e-5,2.5261947495820087,0.025022026513002303,0.03255517452075096,4.8365224417690883e-4
S1A14.txt,1.0153045950268289e-4,4.4065618661689477e-5,17.92053958024007,0.11618273313799778,0.10453794628457933,0.0012739183853321518,1.0671636534354375e-4,1.5451216877382994e-5,0.4798922947630899,0.010717850212987776,4.997990667957301,0.03358618982054797,0.009851735371887231,1.4056034706466476e-4,0.033181035728232555,5.254012328940379e-4,4.338191438827399e-5,5.241999518100108e-6,0.11174715500701375,0.001136084277615726,3.9095391595573805e-4,5.237760161008032e-6,1.3949107205862417,0.01182479289444896,0.005336936604722679,5.9960175470651784e-5
S1A15.txt,0.0015063255051042982,8.282446994551579e-5,17.16049785704135,0.14020056290745,0.2897932232650423,0.006772974440457079,1.315945555475792e-4,2.1308464366029953e-5,2.30307971628912,0.032593108139562274,5.9071253689207746,0.05167731166265755,0.026370917787112653,5.214993951844987e-4,0.031898516400488484,5.019677778825818e-4,4.5014533584232753e-5,4.588638840264747e-6,0.1379679485099555,0.0015345355210298931,8.057994428578279e-4,1.0044552459589929e-5,1.797262203000497,0.01824851864183182,0.007080770685158132,1.9616698519091e-4
S1A16.txt,6.834160369206884e-4,5.593719780051579e-5,18.40041001432062,0.13595888408619075,0.1207523882938586,0.0018066198990853526,1.0755282402996667e-4,1.535385680882674e-5,0.9919536177472803,0.01909528264132325,5.859424235602646,0.042941700412473,0.011211148188227256,3.279984220119965e-4,0.03322598056649728,5.90809617155312e-4,4.839997941059045e-5,5.431469340623695e-6,0.13687373329263,0.0017701593683626185,5.583397723294918e-4,6.777965860494223e-6,2.2779824271340132,0.020324217526496192,0.024868432193801457,3.964474821546014e-4
S1A17.txt,8.397909062434135e-4,5.930632954188983e-5,20.34904579312279,0.13005249725878032,0.16561532262981965,0.004475056043061354,1.2776990170620072e-4,2.2383054389538364e-5,1.283015793692085,0.04638733532600731,6.598803180038817,0.04153702387041925,0.0017143250602676926,4.826888716466989e-5,0.032744015689755865,5.142031488928943e-4,1.115163299555572e-4,7.246768769593958e-6,0.10906540075385251,9.111939040494145e-4,7.245534981530076e-4,7.6238466182781835e-6,2.0623395713898387,0.019124670861785653,0.01360684466262841,1.4141821052245657e-4
S1A18 2.txt,3.5678032411207736e-4,4.928221238794247e-5,16.25472950675435,0.1265986524666306,0.14728807034064767,0.002188339236484948,1.126464704473312e-4,1.5293803402759505e-5,1.2613279890884035,0.020264502193908657,4.419537511224961,0.029796088490494897,0.010015239210107675,1.5524755318956085e-4,0.031401202905303974,5.02270443060872e-4,1.0012352512265386e-4,6.6640283878438445e-6,0.07413518675762683,0.0014416619122297292,4.3571639324480716e-4,6.318275772187479e-6,1.8287087158264168,0.019145070681031242,0.006873041900130996,1.1071445506942408e-4
S1A18 3.txt,3.5678032411207736e-4,4.928221238794247e-5,16.25472950675435,0.1265986524666306,0.14728807034064767,0.002188339236484948,1.126464704473312e-4,1.5293803402759505e-5,1.2613279890884035,0.020264502193908657,4.419537511224961,0.029796088490494897,0.010015239210107675,1.5524755318956085e-4,0.031401202905303974,5.02270443060872e-4,1.0012352512265386e-4,6.6640283878438445e-6,0.07413518675762683,0.0014416619122297292,4.3571639324480716e-4,6.318275772187479e-6,1.8287087158264168,0.019145070681031242,0.006873041900130996,1.1071445506942408e-4
S1A18.txt,3.5678032411207736e-4,4.928221238794247e-5,16.25472950675435,0.1265986524666306,0.14728807034064767,0.002188339236484948,1.126464704473312e-4,1.5293803402759505e-5,1.2613279890884035,0.020264502193908657,4.419537511224961,0.029796088490494897,0.010015239210107675,1.5524755318956085e-4,0.031401202905303974,5.02270443060872e-4,1.0012352512265386e-4,6.6640283878438445e-6,0.07413518675762683,0.0014416619122297292,4.3571639324480716e-4,6.318275772187479e-6,1.8287087158264168,0.019145070681031242,0.006873041900130996,1.1071445506942408e-4
S1A19 2.txt,5.354594649561168e-4,6.278820906394839e-5,17.64254119129747,0.11832493965611836,0.15238350578195667,0.0030473145628804282,9.658637489300348e-5,1.6563313482169633e-5,1.3932469822030364,0.03242938667443223,4.956959306979618,0.03621878663027128,0.007668856536679817,2.035583693107422e-4,0.03434927736058788,0.0026576216586126225,5.797738724690584e-5,5.518304635256319e-6,0.1249911595139821,0.001226177740113662,6.918575626272907e-4,8.70168602015129e-6,1.968015737019687,0.01878437502655718,0.011875338032061677,1.06479758544969e-4
