"file_name","Slide_code","meanLi7","semLi7","meanNa23","semNa23","meanMg24","semMg24","meanAl27","semAl27","meanP31","semP31","meanK39","semK39","meanMn55","semMn55","meanFe57","semFe57","meanCu65","semCu65","meanZn66","semZn66","meanRb85","semRb85","meanSr88","semSr88","meanBa138","semBa138","Number","Year","Site","District","River","Site_no","Lat","Lon","NNCA","Life_stage"
"S1A1.txt","S1A1",0.000883032486344293,7.59628445194087e-05,16.6878986110717,0.114995289481289,0.141656045705956,0.00237556458979864,0.000196844025837718,6.00629532523193e-05,1.06855734775089,0.0339506105459276,3.38200445856559,0.0235471315342054,0.0250831868545168,0.000441469892549,0.056475137407518,0.00068995410509797,9.39127401839444e-05,6.85237506293704e-06,0.113124795668628,0.00110249410788597,0.000269378809374262,4.69017955732019e-06,1.47610633911491,0.0145619409295332,0.0042319761672046,5.70613475969635e-05,1,2020,"Benger Burn","Clutha N","Clutha",3,-45.64608,169.350782,2,"Juvenile"
"S1A10.txt","S1A10",0.000982239119460851,5.68274819492956e-05,18.3247818294087,0.134008492219628,0.330245460068065,0.00421543652209134,8.50402591556597e-05,1.43395364400063e-05,3.05701638286204,0.0437649371266763,7.05892879976567,0.0527477851171031,0.0137897522984974,0.000193486198969592,0.0349051135882085,0.00052799881968223,3.99228463820605e-05,4.75844875665358e-06,0.110245270671403,0.000982324455822723,0.00083763670827294,9.52953893277657e-06,2.50606344063022,0.0319449055440167,0.0279270176735887,0.000812288920108599,73,2020,"Blackcleugh Burn","Clutha W","Clutha",4,-45.959984,169.473254,5,"Juvenile"
"S1A11.txt","S1A11",0.00114784052779489,6.10770556557922e-05,18.5098040848602,0.16248013377434,0.0920069541413739,0.00282289704344756,0.000337770223898602,6.61480807501986e-05,0.980203777132519,0.0433123915171969,4.51083120683282,0.0387671448258535,0.0155625732702825,0.000316282519273197,0.0361939958168299,0.00119669420334074,0.000144404404120577,9.28953729133127e-06,0.104093517957231,0.00152643839017764,0.000424922133418299,5.96658288785287e-06,1.78256314668093,0.0180768866489592,0.00990064351121757,0.000154344011984981,81,2020,"Carsons Creek","Clutha W","Clutha",6,-45.852826,169.473048,6,"Juvenile"
"S1A12.txt","S1A12",0.00155878411296065,0.000295324053412927,18.2979925995079,0.116306765960117,0.0816504618846574,0.00133223543978655,0.000105017862953243,1.48250220444337e-05,0.279235506958018,0.0140630924876929,5.08894334830999,0.0300474804651393,0.0182822529183731,0.000359632924970194,0.0336837874690416,0.000535441006438516,4.16148561167569e-05,5.08323145291924e-06,0.120237263234804,0.0010877774615995,0.000463773720553861,5.99183390840102e-06,1.80151960918978,0.0140527285698135,0.0105257784911401,0.000183281901067766,89,2020,"Carsons Creek","Clutha W","Clutha",6,-45.852826,169.473048,6,"Juvenile"
"S1A13.txt","S1A13",0.00089939185547073,5.65240847630734e-05,18.3643327810573,0.126721753833245,0.157938268302881,0.00240592347555169,9.0189908704657e-05,1.38242958907187e-05,1.09684680221794,0.02407891385477,6.27450855002965,0.0460711555866479,0.0170474687029744,0.000304142375658471,0.0323019061531078,0.000483996765937117,5.08098246915341e-05,4.75973200839017e-06,0.110860289162487,0.00114606418226458,0.00153799086203605,1.47844038936713e-05,2.52619474958201,0.0250220265130023,0.032555174520751,0.000483652244176909,97,2020,"Back Stream","Pomahaka","Pomahaka",2,-45.994338,169.416996,1,"Juvenile"
"S1A14.txt","S1A14",0.000101530459502683,4.40656186616895e-05,17.9205395802401,0.116182733137998,0.104537946284579,0.00127391838533215,0.000106716365343544,1.5451216877383e-05,0.47989229476309,0.0107178502129878,4.9979906679573,0.033586189820548,0.00985173537188723,0.000140560347064665,0.0331810357282326,0.000525401232894038,4.3381914388274e-05,5.24199951810011e-06,0.111747155007014,0.00113608427761573,0.000390953915955738,5.23776016100803e-06,1.39491072058624,0.011824792894449,0.00533693660472268,5.99601754706518e-05,105,2020,"Crookston Burn","Pomahaka","Pomahaka",8,-45.859963,169.331535,2,"Juvenile"
"S1A15.txt","S1A15",0.0015063255051043,8.28244699455158e-05,17.1604978570413,0.14020056290745,0.289793223265042,0.00677297444045708,0.000131594555547579,2.130846436603e-05,2.30307971628912,0.0325931081395623,5.90712536892077,0.0516773116626576,0.0263709177871127,0.000521499395184499,0.0318985164004885,0.000501967777882582,4.50145335842328e-05,4.58863884026475e-06,0.137967948509956,0.00153453552102989,0.000805799442857828,1.00445524595899e-05,1.7972622030005,0.0182485186418318,0.00708077068515813,0.00019616698519091,113,2020,"Leithen Burn","Pomahaka","Pomahaka",14,-45.831446,169.089833,5,"Juvenile"
"S1A16.txt","S1A16",0.000683416036920688,5.59371978005158e-05,18.4004100143206,0.135958884086191,0.120752388293859,0.00180661989908535,0.000107552824029967,1.53538568088267e-05,0.99195361774728,0.0190952826413232,5.85942423560265,0.042941700412473,0.0112111481882273,0.000327998422011997,0.0332259805664973,0.000590809617155312,4.83999794105905e-05,5.43146934062369e-06,0.13687373329263,0.00177015936836262,0.000558339772329492,6.77796586049422e-06,2.27798242713401,0.0203242175264962,0.0248684321938015,0.000396447482154601,121,2020,"Flodden Stream","Pomahaka","Pomahaka",9,-46.008612,169.15025,5,"Juvenile"
"S1A17.txt","S1A17",0.000839790906243414,5.93063295418898e-05,20.3490457931228,0.13005249725878,0.16561532262982,0.00447505604306135,0.000127769901706201,2.23830543895384e-05,1.28301579369208,0.0463873353260073,6.59880318003882,0.0415370238704192,0.00171432506026769,4.82688871646699e-05,0.0327440156897559,0.000514203148892894,0.000111516329955557,7.24676876959396e-06,0.109065400753853,0.000911193904049414,0.000724553498153008,7.62384661827818e-06,2.06233957138984,0.0191246708617857,0.0136068446626284,0.000141418210522457,129,2020,"Flodden Stream","Pomahaka","Pomahaka",9,-46.008612,169.15025,5,"Juvenile"
"S1A18.txt","S1A18",0.000356780324112077,4.92822123879425e-05,16.2547295067544,0.126598652466631,0.147288070340648,0.00218833923648495,0.000112646470447331,1.52938034027595e-05,1.2613279890884,0.0202645021939087,4.41953751122496,0.0297960884904949,0.0100152392101077,0.000155247553189561,0.031401202905304,0.000502270443060872,0.000100123525122654,6.66402838784384e-06,0.0741351867576268,0.00144166191222973,0.000435716393244807,6.31827577218748e-06,1.82870871582642,0.0191450706810312,0.006873041900131,0.000110714455069424,137,2020,"Heriot Burn","Pomahaka","Pomahaka",11,-45.844188,169.262664,6,"Juvenile"
