ElapsedTime_s	Ca43_CPS	IntStdWv	Li_g_g_m7	Na_g_g_m23	Mg_g_g_m24	Al_g_g_m27	P_g_g_m31	K_g_g_m39	Mn_g_g_m55	Fe_g_g_m57	Cu_g_g_m65	Zn_g_g_m66	Rb_g_g_m85	Sr_g_g_m88	Ba_g_g_m138
4.5364	53816.02	40.08	7.97149e-08	0.002858051	2.630932e-05	7.385513e-08	0.0006859595	0.0014546	3.451488e-05	1.86922e-05	3.58977e-08	5.114862e-05	8.040676e-07	0.002094687	1.238712e-05
4.7044	60039.99	40.08	1.990623e-07	0.002816655	2.408402e-05	1.208678e-07	0.0003740659	0.001444726	3.55655e-05	1.559326e-05	-6.449145e-09	5.306774e-05	7.038399e-07	0.002143459	1.245168e-05
4.8723	62737.44	40.08	-2.321109e-08	0.002934356	2.472069e-05	1.10347e-08	0.0003176986	0.001362087	3.463039e-05	1.492281e-05	-6.171861e-09	4.467265e-05	6.735778e-07	0.001898361	1.013122e-05
5.0403	58410.91	40.08	7.344728e-08	0.002812325	2.4673e-05	-6.307241e-08	0.0002933356	0.001323186	3.458347e-05	2.120055e-05	1.124797e-07	4.77529e-05	7.753349e-07	0.001840203	1.129068e-05
5.2085	51266.6	40.08	4.632193e-08	0.003203089	2.489145e-05	-5.052043e-08	0.0003286562	0.001586294	3.736851e-05	1.780846e-05	3.768299e-08	5.109213e-05	6.964699e-07	0.001941142	1.221831e-05
5.3765	57359.1	40.08	4.140287e-08	0.002782583	2.033726e-05	1.206961e-08	0.0002525041	0.001238549	3.595667e-05	1.186113e-05	3.368045e-08	5.275663e-05	7.367368e-07	0.002239625	1.321666e-05
5.5445	62289.83	40.08	3.812653e-08	0.003025508	2.112458e-05	-6.450436e-09	0.0002655675	0.00151158	4.093682e-05	1.614936e-05	6.824504e-08	4.874131e-05	7.917919e-07	0.001908402	1.192101e-05
5.7124	69836.21	40.08	6.143473e-08	0.002607412	1.716927e-05	2.558003e-08	0.0002709439	0.00145484	3.689338e-05	2.00616e-05	-5.544503e-09	4.433416e-05	8.145728e-07	0.001635204	1.057876e-05
5.8804	60757.42	40.08	7.061573e-08	0.003528567	2.264898e-05	2.940244e-08	0.0002673976	0.001449569	3.638163e-05	1.387911e-05	-6.373003e-09	5.540769e-05	6.623437e-07	0.001888617	1.020626e-05
6.0484	57454.41	40.08	4.133864e-08	0.003000906	2.101592e-05	-6.993083e-09	0.00031845	0.001448019	4.390248e-05	1.305496e-05	-6.739383e-09	5.743154e-05	8.759769e-07	0.002172015	1.353826e-05
6.2163	50594.8	40.08	-2.87708e-08	0.00325433	2.548391e-05	1.218076e-07	0.0003180755	0.001608154	4.593324e-05	2.447573e-05	8.402024e-08	6.264557e-05	7.555325e-07	0.0020334	1.325032e-05
6.3846	49510.66	40.08	9.287205e-09	0.003598843	2.903537e-05	3.233598e-07	0.0003243768	0.001458644	4.568234e-05	2.031767e-05	3.901971e-08	6.988185e-05	8.026197e-07	0.002251862	1.317639e-05
6.5525	47783.45	40.08	4.970924e-08	0.003306317	2.348087e-05	1.289744e-07	0.0003599517	0.001522227	4.474321e-05	2.54294e-05	-8.103381e-09	6.109595e-05	9.161299e-07	0.002318564	1.538197e-05
6.7205	52392.43	40.08	8.778911e-09	0.003052857	2.346007e-05	-7.6684e-09	0.0003121795	0.001388539	4.502101e-05	1.342913e-05	-7.390526e-09	5.966867e-05	7.48852e-07	0.00202099	1.263569e-05
6.8885	53864.35	40.08	2.574571e-07	0.003166596	2.317673e-05	-2.777094e-08	0.000316874	0.001357398	4.308764e-05	1.60867e-05	-7.18857e-09	6.101163e-05	7.377466e-07	0.001955827	1.295214e-05
7.0567	54505.84	40.08	1.138639e-07	0.003206615	2.186578e-05	-2.744402e-08	0.0003894571	0.001469842	4.526685e-05	1.845567e-05	3.544389e-08	6.139577e-05	7.938926e-07	0.001937416	1.20919e-05
7.2246	59130.8	40.08	7.781862e-09	0.002757079	2.023704e-05	4.871491e-08	0.0002595621	0.001229267	3.81629e-05	1.583305e-05	1.111116e-07	5.004841e-05	6.379411e-07	0.001710442	1.100428e-05
7.3926	50264.26	40.08	1.996873e-07	0.003276011	2.385466e-05	-7.992732e-09	0.0002981595	0.001537226	4.944885e-05	2.60238e-05	3.843492e-08	6.305799e-05	8.106435e-07	0.002127473	1.382134e-05
7.5606	52850.17	40.08	8.709161e-09	0.003044401	2.138932e-05	7.520622e-08	0.0002931012	0.001433276	4.55155e-05	2.079282e-05	-7.326522e-09	6.085655e-05	7.519041e-07	0.002148161	1.292292e-05
7.7285	52619.21	40.08	8.748649e-09	0.003115434	2.283274e-05	7.553639e-08	0.0003735702	0.001380308	4.106465e-05	9.837903e-06	3.671486e-08	5.453081e-05	6.209945e-07	0.001915217	1.231035e-05
7.8965	53336.19	40.08	8.63229e-09	0.002935338	2.049497e-05	7.452107e-08	0.000425822	0.001393646	4.261055e-05	1.362726e-05	3.622134e-08	6.443258e-05	7.73405e-07	0.0021153	1.293877e-05
8.0645	59842.27	40.08	1.357231e-07	0.003097842	1.895051e-05	4.813608e-08	0.0002509862	0.001347201	4.293399e-05	2.263531e-05	3.228337e-08	4.911958e-05	6.640502e-07	0.001777167	1.18826e-05
8.2327	47667.3	40.08	9.661684e-09	0.003670838	2.245284e-05	-3.138059e-08	0.0002792817	0.001643316	4.55155e-05	2.354119e-05	4.052909e-08	5.795776e-05	8.019348e-07	0.001994941	1.505841e-05
8.4007	41671.24	40.08	1.105346e-08	0.003473425	2.458654e-05	4.28708e-08	0.0003134315	0.001580085	4.58884e-05	1.57688e-05	-9.291979e-09	5.909884e-05	8.084576e-07	0.002246774	1.295195e-05
8.5686	40443.23	40.08	5.875004e-08	0.003569011	2.343027e-05	1.711987e-08	0.0002648563	0.001597727	4.88006e-05	1.567297e-05	4.776858e-08	6.913513e-05	1.119794e-06	0.002181626	1.395565e-05
8.7369	44026.64	40.08	1.046497e-08	0.003400539	2.581268e-05	9.027919e-08	0.0002718337	0.001428024	4.46176e-05	1.65088e-05	-8.794866e-09	6.494643e-05	7.88104e-07	0.002246374	1.378023e-05
8.9048	51109.44	40.08	-2.845973e-08	0.002839574	2.296546e-05	1.354723e-08	0.0002234738	0.001406581	4.081046e-05	1.740857e-05	3.779966e-08	5.770796e-05	8.268266e-07	0.001988578	1.303486e-05
9.0728	48267.45	40.08	9.548137e-09	0.003322337	1.948252e-05	1.434498e-08	0.0002551958	0.001431195	4.874079e-05	1.602133e-05	-8.022148e-09	5.813516e-05	7.606342e-07	0.001850976	1.289931e-05
9.2408	45561.44	40.08	-3.192238e-08	0.003391045	4.366148e-05	1.519706e-08	0.0002729911	0.00145205	4.51106e-05	1.646279e-05	-8.498606e-09	6.583321e-05	8.500643e-07	0.002078108	1.295761e-05
9.4087	52890.39	40.08	8.71596e-09	0.002742091	1.903021e-05	7.514987e-08	0.0002374362	0.001389694	3.880113e-05	1.198454e-05	-7.320966e-09	5.03441e-05	5.892196e-07	0.001877469	1.166092e-05
9.5767	45523.24	40.08	1.012788e-08	0.003874764	2.409178e-05	8.731166e-08	0.0002878707	0.001555886	4.965144e-05	1.59661e-05	-8.50574e-09	7.204544e-05	8.39705e-07	0.002412247	1.616403e-05
9.7447	51940.09	40.08	4.575399e-08	0.003195063	1.889203e-05	3.439565e-08	0.0002379915	0.00148399	4.836517e-05	1.086148e-05	3.719533e-08	6.449415e-05	6.777361e-07	0.002015596	1.346421e-05
9.9126	50300.76	40.08	8.532423e-08	0.003429923	2.070332e-05	-2.973681e-08	0.0002201166	0.001383623	4.651311e-05	1.352561e-05	-7.697875e-09	6.566678e-05	9.003471e-07	0.002043299	1.480409e-05
10.0808	51335.89	40.08	8.984816e-09	0.003179158	2.016867e-05	7.74258e-08	0.0004137166	0.001539039	4.12558e-05	1.959539e-05	3.763317e-08	6.492786e-05	5.972429e-07	0.002044616	1.320605e-05
10.2488	51846.7	40.08	-2.804489e-08	0.003664708	1.994666e-05	1.335524e-08	0.0002291459	0.001504102	4.164792e-05	1.671283e-05	8.199322e-08	6.441741e-05	6.789571e-07	0.001924482	1.32377e-05
10.4168	50122.64	40.08	4.741788e-08	0.00316938	1.897737e-05	-2.984222e-08	0.0002259099	0.001492365	4.335948e-05	1.589205e-05	-7.725236e-09	6.290463e-05	6.922544e-07	0.001968657	1.359262e-05
10.585	49228.67	40.08	4.82802e-08	0.003407678	2.049454e-05	1.406566e-08	0.0002522086	0.00146538	4.655715e-05	1.760164e-05	-7.865524e-09	6.235258e-05	8.994762e-07	0.001892432	1.561264e-05
10.753	55261.23	40.08	4.301082e-08	0.003412028	1.897543e-05	-7.268425e-09	0.0002466409	0.001397426	4.423625e-05	2.030629e-05	-7.00689e-09	6.539108e-05	8.742583e-07	0.001867235	1.419712e-05
10.9209	64754.41	40.08	3.670625e-08	0.002695879	1.6621e-05	1.069336e-08	0.0003971458	0.001213765	3.699716e-05	1.014773e-05	-5.979662e-09	5.332964e-05	6.058934e-07	0.00173086	1.200553e-05
11.0889	57313.46	40.08	-2.536414e-08	0.003164946	2.022762e-05	3.11715e-08	0.0002448723	0.001550167	4.853036e-05	1.674071e-05	3.370837e-08	5.623483e-05	8.958116e-07	0.001813124	1.341027e-05
11.2569	53471.27	40.08	-2.718546e-08	0.003479846	1.999314e-05	3.341141e-08	0.000281297	0.001518567	4.253384e-05	1.88129e-05	3.613053e-08	5.896555e-05	7.24318e-07	0.002167466	1.278061e-05
11.4248	54728.35	40.08	8.437112e-09	0.00335774	1.861075e-05	3.264405e-08	0.0002294601	0.001515728	4.144324e-05	1.413003e-05	3.530067e-08	6.15137e-05	6.708391e-07	0.002016718	1.302358e-05
11.5928	53787.39	40.08	2.934588e-07	0.003308056	2.014404e-05	-7.467182e-09	0.0003362818	0.00148908	4.433837e-05	1.524138e-05	-7.198894e-09	6.097679e-05	6.544602e-07	0.002052352	1.342306e-05
11.7608	51147.86	40.08	9.030206e-09	0.003377866	2.031344e-05	1.353847e-08	0.0002382565	0.001627669	4.23292e-05	1.466481e-05	8.311417e-08	7.149948e-05	7.375103e-07	0.002129135	1.441113e-05
11.929	50771.46	40.08	8.454697e-08	0.003434383	2.008498e-05	-2.946008e-08	0.0002550938	0.001573302	4.174609e-05	1.660909e-05	3.805195e-08	6.519071e-05	7.529063e-07	0.002167367	1.638791e-05
12.097	51932.43	40.08	8.896218e-09	0.003295804	1.958968e-05	1.33341e-08	0.0002567622	0.001501022	5.160136e-05	1.758034e-05	3.720132e-08	6.58542e-05	7.360749e-07	0.002217362	1.348238e-05
12.2652	52656.05	40.08	1.178972e-07	0.003263497	1.91149e-05	-7.627292e-09	0.0002281107	0.001431235	4.596197e-05	2.042829e-05	-7.353572e-09	6.266747e-05	9.462321e-07	0.001880705	1.560974e-05
12.4331	49874.89	40.08	9.265757e-09	0.003607902	3.612986e-05	1.388435e-08	0.0002607766	0.00152742	4.99628e-05	2.016951e-05	-7.763628e-09	6.816957e-05	8.676092e-07	0.002002594	1.441711e-05
12.6011	54347.1	40.08	2.758095e-06	0.003257257	1.818824e-05	-7.389803e-09	0.000281195	0.001457369	4.186818e-05	1.936503e-05	3.554855e-08	6.028757e-05	7.033708e-07	0.001936896	1.314583e-05
12.7691	54592.48	40.08	4.355104e-08	0.003312713	1.832668e-05	-2.739771e-08	0.0003920558	0.001465255	4.137618e-05	1.544663e-05	1.203519e-07	6.099503e-05	7.279095e-07	0.001949859	1.338647e-05
12.937	51540.48	40.08	8.970004e-09	0.003172792	1.829218e-05	9.834773e-08	0.0002805774	0.001444867	4.139483e-05	1.545497e-05	-7.512743e-09	6.149869e-05	8.199138e-07	0.0019414	1.602916e-05
13.105	51864.83	40.08	8.277248e-08	0.003483603	1.954557e-05	3.444717e-08	0.0002379108	0.001457599	4.11061e-05	1.356594e-05	3.725002e-08	6.613349e-05	8.537593e-07	0.002112054	1.387202e-05
13.273	48698.71	40.08	8.815508e-08	0.003642757	2.212542e-05	-5.317995e-08	0.0002695429	0.00157834	4.649055e-05	1.444793e-05	8.729484e-08	6.652674e-05	6.709899e-07	0.002054052	1.720629e-05
13.441	49008.53	40.08	1.266798e-07	0.003478508	4.007237e-05	1.03429e-07	0.0002470931	0.001463633	4.170819e-05	1.910347e-05	-7.900882e-09	6.100002e-05	8.829473e-07	0.001952672	1.586275e-05
13.6092	43039.85	40.08	1.074751e-08	0.003882397	2.09832e-05	9.235178e-08	0.0003766982	0.001691867	4.573994e-05	1.364767e-05	-8.996563e-09	7.255998e-05	8.178876e-07	0.002304542	1.696989e-05
13.7771	45482.69	40.08	1.365025e-07	0.003703968	2.033193e-05	2.184996e-05	0.0002314224	0.001584978	4.404421e-05	1.905147e-05	4.247712e-08	6.814973e-05	6.408559e-07	0.002093438	1.577242e-05
13.9451	46871.35	40.08	9.871651e-09	0.003893983	1.872948e-05	1.477489e-08	0.0004367138	0.001526724	4.817069e-05	1.79912e-05	4.121869e-08	7.011735e-05	9.662245e-07	0.00238007	1.748245e-05
14.1133	60739.73	40.08	1.022167e-07	0.00282739	2.414391e-05	8.345307e-08	0.0001941519	0.001371574	3.507485e-05	1.770962e-05	-6.37492e-09	5.515208e-05	6.45942e-07	0.00164656	1.214919e-05
14.2813	50582.96	40.08	9.149802e-09	0.00346965	1.994584e-05	1.369092e-08	0.0002556109	0.001466204	4.166773e-05	1.850889e-05	3.819426e-08	6.147633e-05	8.654305e-07	0.001994035	1.380057e-05
14.4493	52203.61	40.08	1.556215e-07	0.003133624	1.976424e-05	3.422427e-08	0.000202674	0.001371176	3.889861e-05	1.615354e-05	8.143446e-08	6.404217e-05	6.06629e-07	0.001790576	1.431263e-05
14.6172	48725.08	40.08	2.060403e-07	0.003490249	2.011404e-05	3.666765e-08	0.0002144528	0.001521929	4.268363e-05	1.062439e-05	3.965068e-08	6.669679e-05	9.70846e-07	0.001968912	1.770618e-05
14.7852	51666.78	40.08	1.201706e-07	0.003334592	1.91318e-05	-7.772072e-09	0.0002003414	0.001462222	3.761365e-05	1.857048e-05	-7.494394e-09	6.774488e-05	7.398605e-07	0.00211869	1.686905e-05
14.9532	61738.02	40.08	6.954561e-08	0.002858141	1.540698e-05	9.982561e-08	0.0001869412	0.001300153	3.492731e-05	1.44118e-05	5.196403e-07	5.939825e-05	7.008969e-07	0.001989724	1.417175e-05
15.1211	58432.87	40.08	7.925741e-09	0.003191325	1.776023e-05	1.185204e-08	0.0002409251	0.001511215	3.492907e-05	1.363209e-05	-6.626601e-09	6.458736e-05	7.491685e-07	0.001930907	1.533341e-05
15.2891	51380.84	40.08	-2.826119e-08	0.003656311	2.075978e-05	1.347882e-08	0.0002676049	0.001626764	4.187735e-05	1.686458e-05	3.760137e-08	6.844668e-05	8.519921e-07	0.002106743	1.786393e-05
15.4573	55524.86	40.08	8.34299e-09	0.003450896	2.074911e-05	-2.693638e-08	0.0002129767	0.001430319	3.981506e-05	1.39275e-05	-6.97366e-09	6.12341e-05	8.610315e-07	0.002112014	2.127277e-05
15.6253	48152.53	40.08	1.289463e-07	0.003886034	5.016043e-05	-5.378185e-08	0.0002526177	0.001698585	4.180708e-05	1.847791e-05	1.364498e-07	7.532442e-05	9.091127e-07	0.002600583	1.85371e-05
15.7932	50429.98	40.08	2.370598e-07	0.003215	2.038796e-05	-2.965755e-08	0.0002286413	0.001734224	3.724765e-05	1.210867e-05	3.831046e-08	6.775133e-05	8.580612e-07	0.001858439	1.820914e-05
15.9615	49385.95	40.08	9.383698e-09	0.003539619	1.848158e-05	1.402362e-08	0.0002031823	0.001591563	3.906937e-05	1.942821e-05	-7.840524e-09	6.479109e-05	8.046512e-07	0.002002702	1.888394e-05
16.1294	49119.62	40.08	-2.955585e-08	0.003726995	2.438598e-05	1.409975e-08	0.0002082831	0.00153306	4.314202e-05	1.57437e-05	-7.883037e-09	6.853964e-05	9.01476e-07	0.001945375	2.221435e-05
16.2974	46956.96	40.08	5.065904e-08	0.003491988	1.925827e-05	8.464923e-08	0.0002260141	0.001589614	3.72595e-05	1.944335e-05	4.114408e-08	6.537141e-05	8.892133e-07	0.001960299	1.861477e-05
16.4654	45924.77	40.08	9.350297e-08	0.003661151	2.547951e-05	-5.639026e-08	0.0002054235	0.001507544	3.876981e-05	1.481474e-05	-8.43144e-09	6.182978e-05	6.34688e-07	0.002172681	2.000456e-05
16.6333	44499.49	40.08	5.345925e-08	0.00383702	2.061908e-05	1.556393e-08	0.0002267181	0.001568186	4.303539e-05	1.476699e-05	-8.701493e-09	7.355563e-05	7.684059e-07	0.00227311	2.209377e-05
16.8013	52990.32	40.08	4.489436e-08	0.003336432	2.028815e-05	3.371727e-08	0.0002060497	0.0013531	3.850783e-05	1.591387e-05	3.645962e-08	6.025859e-05	6.166488e-07	0.001768895	2.303267e-05
16.9693	47568.95	40.08	5.001212e-08	0.003515464	2.118423e-05	6.05603e-08	0.000230221	0.001494959	4.062747e-05	2.065895e-05	8.936985e-08	7.182675e-05	8.883705e-07	0.002160256	2.199787e-05
17.1375	47960.67	40.08	-3.026227e-08	0.003458929	1.792826e-05	-8.371385e-09	0.0002026182	0.001437606	3.680229e-05	2.485141e-05	4.028323e-08	6.226508e-05	8.390742e-07	0.002047114	2.389619e-05
17.3055	52019.62	40.08	8.255299e-08	0.003103951	2.429962e-05	1.395086e-07	0.0001876481	0.001469259	4.099616e-05	1.710438e-05	-7.443581e-09	6.298682e-05	7.057731e-07	0.001752193	1.897273e-05
17.4734	45709.12	40.08	5.205078e-08	0.003516429	2.023121e-05	1.515252e-08	0.0002345711	0.00146374	3.720768e-05	1.590159e-05	-8.471226e-09	6.985772e-05	8.583498e-07	0.00197532	2.061489e-05
17.6414	49035.68	40.08	4.852086e-08	0.003267956	2.339667e-05	1.412466e-08	0.0002721471	0.001379547	3.446332e-05	1.43489e-05	-7.896546e-09	6.056012e-05	8.617984e-07	0.001929215	2.267439e-05
17.8094	48356.89	40.08	8.880927e-08	0.00334585	1.85516e-05	-5.355334e-08	0.0002097613	0.001576633	3.8334e-05	1.647274e-05	-8.007389e-09	6.989775e-05	6.236146e-07	0.001926584	2.074104e-05
17.9776	47804.86	40.08	1.298994e-07	0.003511408	2.135642e-05	6.026196e-08	0.0002126392	0.0015296	3.481285e-05	1.569067e-05	-8.099859e-09	6.260774e-05	8.628982e-07	0.002067448	2.063662e-05
18.1455	46418.55	40.08	1.000031e-08	0.003555315	3.294386e-05	-8.648939e-09	0.0002521644	0.001496329	3.865819e-05	1.115255e-05	-8.341766e-09	6.785538e-05	8.669503e-07	0.002412463	2.072636e-05
18.3135	48464.27	40.08	-2.993882e-08	0.003212415	1.82131e-05	-8.283775e-09	0.0001953325	0.001425281	3.394682e-05	1.451812e-05	-7.989655e-09	6.017297e-05	8.303558e-07	0.001727452	2.17569e-05
18.4815	46111.11	40.08	1.006958e-08	0.003414903	1.710996e-05	-3.243381e-08	0.0001861384	0.001446498	4.135345e-05	1.173094e-05	9.219609e-08	6.071282e-05	8.617992e-07	0.002038368	1.867337e-05
18.6494	47257.1	40.08	-3.070096e-08	0.003417599	2.779358e-05	-3.16472e-08	0.0001827783	0.00143646	3.129292e-05	1.4889e-05	4.088332e-08	6.488703e-05	6.167949e-07	0.001734348	1.82651e-05
18.8174	40496.07	40.08	1.533503e-07	0.003573414	2.203427e-05	7.113864e-08	0.0002124853	0.001686283	3.706237e-05	1.852261e-05	-9.561743e-09	6.575637e-05	7.44667e-07	0.002163585	2.121064e-05
18.9856	42219.45	40.08	1.470919e-07	0.003424746	1.882932e-05	6.823488e-08	0.000189349	0.001567597	3.71427e-05	1.721606e-05	1.006947e-07	7.31824e-05	6.903914e-07	0.002065657	2.124173e-05
19.1536	46081.82	40.08	5.164225e-08	0.003346071	2.09545e-05	3.877336e-08	0.0002167982	0.001470007	3.825949e-05	9.721108e-06	4.192614e-08	6.893084e-05	8.185927e-07	0.002297638	2.021964e-05
19.3216	44625.21	40.08	5.332918e-08	0.003675352	2.293198e-05	6.455649e-08	0.0002870333	0.001615686	3.799741e-05	1.680876e-05	4.329469e-08	7.477094e-05	9.582694e-07	0.002293758	2.235263e-05
19.4895	53764.75	40.08	4.426476e-08	0.003334667	1.974987e-05	3.323284e-08	0.000251462	0.001479393	3.567838e-05	2.087198e-05	-7.201992e-09	6.66561e-05	9.830705e-07	0.002225216	2.121431e-05
19.6575	61007.96	40.08	1.331883e-07	0.003199235	1.933795e-05	2.928732e-08	0.0001902486	0.001383475	3.626425e-05	2.106055e-05	1.076997e-07	5.956354e-05	7.175486e-07	0.001844058	1.660587e-05
19.8257	47665.95	40.08	1.3029e-07	0.003774175	2.295812e-05	-8.421698e-09	0.0004928547	0.001606184	3.806917e-05	2.159226e-05	8.918933e-08	6.748054e-05	7.490873e-07	0.001939372	2.077632e-05
19.9937	44772.92	40.08	-3.239325e-08	0.003924576	2.02514e-05	1.547078e-08	0.0002724139	0.00166938	3.764277e-05	1.57152e-05	9.495243e-08	7.497187e-05	1.101581e-06	0.002120926	2.353184e-05
20.1617	42048.88	40.08	5.660348e-08	0.004063587	2.0706e-05	-9.546499e-09	0.0001916699	0.001764012	3.836948e-05	1.89441e-05	1.011038e-07	7.522556e-05	9.930076e-07	0.002065668	2.20187e-05
20.3296	40859.07	40.08	1.138002e-08	0.003877857	2.119128e-05	1.695292e-08	0.000201255	0.001835068	3.758854e-05	2.405185e-05	4.728561e-08	7.888576e-05	9.232286e-07	0.002036753	2.186655e-05
