ElapsedTime_s	Ca43_CPS	IntStdWv	Li_g_g_m7	Na_g_g_m23	Mg_g_g_m24	Al_g_g_m27	P_g_g_m31	K_g_g_m39	Mn_g_g_m55	Fe_g_g_m57	Cu_g_g_m65	Zn_g_g_m66	Rb_g_g_m85	Sr_g_g_m88	Ba_g_g_m138
4.5363	49396.44	40.08	1.105492e-07	0.00436645	0.0001224185	3.507613e-08	0.0005424583	0.002613109	6.441239e-06	2.100407e-05	3.20316e-07	6.053835e-05	8.965803e-07	0.001587738	1.114581e-05
4.7044	58653.24	40.08	6.305702e-08	0.003408031	4.348702e-05	4.822541e-08	0.0003803867	0.002460892	4.283095e-06	1.607998e-05	7.14519e-08	4.285695e-05	5.63875e-07	0.001324432	8.928645e-06
4.8724	48318.53	40.08	3.600348e-09	0.003633158	3.931524e-05	1.492684e-07	0.0004545708	0.002750225	6.112525e-06	2.391432e-05	3.858912e-08	5.208822e-05	5.330753e-07	0.001271842	1.151715e-05
5.0404	45482.22	40.08	4.257313e-08	0.004525458	4.847314e-05	1.344796e-07	0.001048028	0.00275045	5.713187e-06	2.851839e-05	2.455869e-07	5.828072e-05	8.879044e-07	0.001443552	1.207894e-05
5.2084	48784.74	40.08	-3.255557e-08	0.004794688	4.609275e-05	1.703062e-07	0.000467285	0.002693774	5.09784e-06	1.788171e-05	2.289617e-07	5.108002e-05	5.379712e-07	0.001420832	9.46421e-06
5.3764	45196.25	40.08	3.853027e-09	0.004563032	4.378947e-05	8.683067e-08	0.000578365	0.002661275	4.94184e-06	1.87794e-05	3.500837e-07	5.678907e-05	6.453873e-07	0.001638636	1.098418e-05
5.5444	51585.17	40.08	1.400285e-07	0.003887905	4.068973e-05	5.483003e-08	0.0004755578	0.002625688	6.394757e-06	1.507671e-05	3.067252e-07	5.410277e-05	5.182139e-07	0.001421324	9.769195e-06
5.7125	48760.13	40.08	7.585827e-08	0.00423855	4.226819e-05	1.703902e-07	0.000450454	0.002753938	6.848653e-06	1.54663e-05	8.594918e-08	5.56406e-05	5.8822e-07	0.001506227	1.089411e-05
5.8805	52483.41	40.08	-3.025675e-08	0.004029477	3.666978e-05	4.08889e-07	0.0005126372	0.002479967	5.869646e-06	1.617192e-05	7.98518e-08	5.543323e-05	4.257662e-07	0.001329084	1.012878e-05
6.0485	50585.88	40.08	3.447223e-09	0.004195323	4.292524e-05	-9.085499e-09	0.0004046442	0.002456049	6.330721e-06	1.677854e-05	1.288346e-07	5.529513e-05	6.055287e-07	0.001360332	9.330046e-06
6.2165	48462.54	40.08	-3.276466e-08	0.003843521	3.98345e-05	2.392791e-07	0.0003993086	0.002817619	8.683084e-06	2.481701e-05	8.647706e-08	5.893901e-05	8.332985e-07	0.001308347	1.065938e-05
6.3845	48244.71	40.08	-3.291137e-08	0.004221467	4.729825e-05	2.630758e-07	0.000436178	0.002443403	7.774607e-06	1.857092e-05	1.350866e-07	5.914092e-05	7.360372e-07	0.001540717	9.946401e-06
6.5526	52028.48	40.08	7.109873e-08	0.004069922	0.0001825676	7.542405e-08	0.0005585961	0.002479317	6.496834e-06	2.084849e-05	8.055012e-08	5.364167e-05	7.480823e-07	0.001503802	1.008825e-05
6.7206	53005.9	40.08	3.654158e-08	0.004375597	4.441764e-05	1.200331e-08	0.000435122	0.002389708	8.35137e-06	2.358014e-05	1.229526e-07	5.935629e-05	6.239486e-07	0.001507557	1.008111e-05
6.8886	53727.08	40.08	-2.954974e-08	0.00435894	4.158733e-05	1.138361e-07	0.000487086	0.002405471	6.801953e-06	1.975017e-05	7.800355e-08	5.49039e-05	4.612672e-07	0.001566557	9.960496e-06
7.0565	54560.37	40.08	-2.909734e-08	0.004258937	4.20628e-05	9.200958e-08	0.0004532625	0.002189599	6.270042e-06	2.161089e-05	3.417484e-08	5.406534e-05	4.988868e-07	0.001307722	8.259818e-06
7.2246	53888.86	40.08	-2.945882e-08	0.004066129	3.824543e-05	1.180484e-08	0.0004132809	0.002177886	7.234075e-06	1.662583e-05	1.641068e-07	5.312015e-05	5.774573e-07	0.001431114	8.831422e-06
