ElapsedTime_s	Ca43_CPS	IntStdWv	Li_g_g_m7	Na_g_g_m23	Mg_g_g_m24	Al_g_g_m27	P_g_g_m31	K_g_g_m39	Mn_g_g_m55	Fe_g_g_m57	Cu_g_g_m65	Zn_g_g_m66	Rb_g_g_m85	Sr_g_g_m88	Ba_g_g_m138
4.5362	54435.58	40.08	4.482489e-08	0.003542796	2.396733e-05	3.182604e-08	0.0001807441	0.001753069	1.972829e-05	1.465936e-05	3.572292e-08	7.500622e-05	5.6183e-07	0.001858354	1.058425e-05
4.7041	55287.64	40.08	4.413557e-08	0.003679267	3.003643e-05	3.133501e-08	0.000166601	0.001668659	2.26186e-05	1.23441e-05	3.517233e-08	7.659212e-05	6.350842e-07	0.001794058	1.100227e-05
4.8721	54051.86	40.08	1.157714e-07	0.003781864	2.739532e-05	9.265992e-08	0.0002679557	0.001678002	1.938826e-05	1.562246e-05	3.597644e-08	0.000169054	6.123142e-07	0.001849822	1.052052e-05
5.0401	50819.04	40.08	4.801973e-08	0.004085529	3.284411e-05	3.408918e-08	0.0001884024	0.001790341	2.539941e-05	1.297486e-05	-7.499666e-09	8.259773e-05	5.226862e-07	0.001806865	1.021345e-05
5.208	50764.17	40.08	4.807328e-08	0.00379841	2.384898e-05	9.865978e-08	0.0001556397	0.001756543	2.15248e-05	2.027494e-05	3.830633e-08	8.242171e-05	7.213787e-07	0.001769676	1.130863e-05
5.3765	61695.02	40.08	8.619305e-09	0.003119336	1.966252e-05	6.347905e-08	0.0003113288	0.001424494	1.959166e-05	1.593376e-05	-6.177554e-09	7.344554e-05	3.816607e-07	0.001637888	9.345592e-06
5.5445	58859.89	40.08	1.711764e-07	0.003458448	2.41122e-05	2.943073e-08	0.0003440232	0.001471417	2.174709e-05	1.552371e-05	-6.475098e-09	7.068436e-05	3.915046e-07	0.001699846	9.930421e-06
5.7124	62366.59	40.08	1.003435e-07	0.003282314	3.252059e-05	9.781362e-08	0.0003883878	0.001474539	1.804995e-05	1.316539e-05	6.847074e-08	7.130289e-05	5.145607e-07	0.001564355	8.997498e-06
5.8804	52445.07	40.08	4.653881e-08	0.003745327	2.379694e-05	-8.614558e-09	0.0001481312	0.001672622	2.248329e-05	1.65414e-05	-7.267072e-09	7.900891e-05	4.777276e-07	0.001771329	1.051674e-05
6.0484	59975.91	40.08	1.043461e-07	0.003387837	2.064803e-05	-6.215582e-08	0.0001649632	0.001517339	1.868424e-05	1.484956e-05	-6.354575e-09	7.324579e-05	3.42316e-07	0.001747235	9.550853e-06
